Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,Vgchartzscore,Metacritic Review
156,Red Dead Redemption,red-dead-redemption,Action,M,PS3,Rockstar Games,Rockstar San Diego,9.5,,,6.57,2.82,2.58,0.17,1,2011,,9.1,9
161,Red Dead Redemption,red-dead-redemption,Action,M,X360,Rockstar Games,Rockstar San Diego,9.5,10,,6.5,3.77,2.03,0.09,0.6,2010,,9.1,9
171,The Last of Us,the-last-of-us,Action-Adventure,M,PS3,Sony Computer Entertainment America,Naughty Dog,9.5,,,6.27,2.41,2.57,0.29,0.99,2013,24th Sep 18,,9.2
177,Metal Gear Solid 2: Sons of Liberty,metal-gear-solid-2-sons-of-liberty,Action,M,PS2,Konami,Konami Computer Entertainment Japan,9.5,7,,6.05,2.45,2.01,0.87,0.72,2001,,,8.9
229,Madden NFL 2004,madden-nfl-2004,Sports,E,PS2,EA Sports,EA Tiburon,9.5,,,5.23,4.26,0.26,0.01,0.71,2003,,,7
280,Batman: Arkham City,batman-arkham-city,Action,T,X360,Warner Bros. Interactive,Rocksteady Studios,9.5,,,4.75,2.99,1.28,0.04,0.44,2011,,,8.8
299,Madden NFL 2005,madden-nfl-2005,Sports,E,PS2,EA Sports,EA Tiburon,9.5,,,4.53,4.18,0.26,0.01,0.08,2004,,,6.9
354,Half-Life,half-life,Shooter,M,PC,Sierra Entertainment,Valve Software,9.5,,,4.12,4.03,0,0.09,,1998,,,9.1
520,Assassin's Creed Odyssey,assassins-creed-odyssey,Action-Adventure,M,PS4,Ubisoft,Ubisoft Quebec,9.5,,,3.18,1.18,1.4,0.09,0.51,2018,17th Nov 18,,6.6
538,Mass Effect 2,mass-effect-2,Role-Playing,M,X360,Electronic Arts,BioWare Edmonton,9.5,8.9,,3.1,1.99,0.81,0.03,0.27,2010,,9.5,8.9
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,PS3,Rockstar Games,Rockstar North,9.4,,,20.32,6.37,9.85,0.99,3.12,2013,,,8.4
167,Minecraft,minecraft,Misc,E10,PS4,Sony Computer Entertainment,Mojang,9.4,,,6.33,1.89,3.13,0.35,0.96,2014,14th Sep 18,,7.9
185,LittleBigPlanet,littlebigplanet,Platform,E,PS3,Sony Computer Entertainment,Media Molecule,9.4,9.2,,5.85,2.8,2.01,0.17,0.87,2008,,9.2,8.1
351,Madden NFL 2003,madden-nfl-2003,Sports,E,PS2,EA Sports,EA Tiburon,9.4,,,4.14,3.36,0.21,0.01,0.56,2002,,,7.1
88,Halo: Reach,halo-reach,Shooter,M,X360,Microsoft Game Studios,Bungie,9.3,,,9.97,7.08,2.01,0.08,0.8,2010,11th Oct 18,,8.4
105,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9.3,,,8.88,5.1,2.83,0.1,0.85,2011,01st Apr 18,,8.6
142,Crash Bandicoot 3: Warped,crash-bandicoot-3-warped,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,9.3,,,7.13,3.68,1.75,1.42,0.28,1998,24th Sep 18,,9
148,Uncharted 3: Drake's Deception,uncharted-3-drakes-deception,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,9.3,6.3,,6.84,2.77,2.81,0.19,1.06,2011,,,8.4
181,Metal Gear Solid 4: Guns of the Patriots,metal-gear-solid-4-guns-of-the-patriots,Action,M,PS3,Konami,Kojima Productions,9.3,9.8,,6,2.63,1.72,0.83,0.81,2008,,9.5,8.7
284,Tony Hawk's Pro Skater 2,tony-hawks-pro-skater-2,Sports,T,PS,Activision,Neversoft Entertainment,9.3,,,4.68,3.05,1.41,0.02,0.2,2000,,,8.4
285,Monster Hunter: World,monster-hunter-world,Action,T,PS4,Capcom,Capcom,9.3,9,,4.67,1.03,1.06,2.17,0.42,2018,30th Jan 18,,7.7
341,Street Fighter IV,street-fighter-iv,Fighting,T,PS3,Capcom,Capcom / Dimps Corporation,9.3,9,,4.19,2.04,1.05,0.59,0.52,2009,,9.1,7.2
396,World Soccer Winning Eleven 8 International,world-soccer-winning-eleven-8-international,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,9.3,,,3.85,0.16,1.89,1.12,0.68,2005,,,7.5
427,Doom II,doom-ii,Shooter,M,PC,GT Interactive,id Software,9.3,,,3.61,2.05,1.4,,0.16,1994,,,8.8
529,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,M,PS3,Bethesda Softworks,4J Studios,9.3,,,3.12,1.69,0.86,0.14,0.44,2007,,8.8,8.8
555,Tom Clancy's Splinter Cell,tom-clancys-splinter-cell,Action,T,XB,Ubisoft,Ubisoft,9.3,9.1,,3.02,1.85,1.04,,0.13,2002,,,8.5
584,Street Fighter IV,street-fighter-iv,Fighting,T,X360,Capcom,Capcom / Dimps Corporation,9.3,9.3,,2.95,1.83,0.7,0.15,0.26,2009,,9.1,7.3
615,Command & Conquer: Red Alert,command-amp-conquer-red-alert,Strategy,T,PC,Virgin Interactive,Westwood Studios,9.3,,,2.85,1.37,1.34,,0.14,1996,,,8.7
671,Burnout 3: Takedown,burnout-3-takedown,Racing,T,PS2,Electronic Arts,Criterion Games,9.3,,,2.68,1.23,1.11,,0.34,2004,,,9.1
676,Medal of Honor,medal-of-honor,Shooter,T,PS,Electronic Arts,DreamWorks Interactive,9.3,,,2.67,1.44,1.09,,0.14,1999,,,8.9
154,FIFA Soccer 12,fifa-soccer-12,Sports,E,PS3,EA Sports,EA Canada,9.2,,,6.65,0.84,4.33,0.11,1.37,2011,,,7.2
205,Forza Motorsport 3,forza-motorsport-3,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,9.2,9.8,,5.5,2.99,1.9,0.1,0.51,2009,,,8.2
242,Guitar Hero II,guitar-hero-ii,Misc,T,PS2,RedOctane,Harmonix Music Systems,9.2,,,5.12,3.81,0.63,,0.68,2006,,,8.2
277,Crash Team Racing,crash-team-racing,Racing,E,PS,Sony Computer Entertainment,Naughty Dog,9.2,,,4.79,2.57,1.57,0.44,0.21,1999,,,8.8
313,The Elder Scrolls IV: Oblivion,the-elder-scrolls-iv-oblivion,Role-Playing,M,X360,Take-Two Interactive,Bethesda Softworks,9.2,,,4.47,2.89,1.03,0.13,0.41,2009,,8.8,8.8
343,FIFA Soccer 12,fifa-soccer-12,Sports,E,X360,EA Sports,EA Canada,9.2,,,4.18,0.85,2.79,0.02,0.52,2011,,,6.8
379,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,PC,Bethesda Softworks,Bethesda Game Studios,9.2,,,3.99,1.18,2.25,,0.56,2011,01st Apr 18,,8.4
593,Mass Effect,mass-effect,Role-Playing,M,X360,Microsoft Game Studios,BioWare Edmonton,9.2,9.1,,2.91,1.83,0.79,0.03,0.27,2007,,8.5,8.7
598,World Soccer Winning Eleven 7 International,world-soccer-winning-eleven-7-international,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,9.2,,,2.9,0.08,1.24,1.13,0.45,2004,,,7.2
603,Syphon Filter,syphon-filter,Shooter,T,PS,989 Studios,Eidetic,9.2,,,2.88,2.03,0.72,0.02,0.11,1999,,,8.6
193,Tekken 2,tekken-2,Fighting,T,PS,Namco,Namco,9.1,,,5.74,2.26,1.89,1.36,0.23,1996,,,8.2
223,Assassin's Creed II,assassins-creed-ii,Action,M,X360,Ubisoft,Ubisoft Montreal,9.1,,,5.3,3.14,1.55,0.08,0.52,2009,,9,8.8
266,Madden NFL 06,madden-nfl-06,Sports,E,PS2,EA Sports,EA Tiburon,9.1,,,4.91,3.98,0.26,0.01,0.66,2005,,,8.4
291,Forza Motorsport 4,forza-motorsport-4,Racing,E,X360,Microsoft Studios,Turn 10 Studio,9.1,,,4.6,2.08,1.98,0.06,0.49,2011,,,8.4
315,Tony Hawk's Pro Skater 3,tony-hawks-pro-skater-3,Sports,T,PS2,Activision,Neversoft Entertainment,9.1,,,4.41,2.66,1.29,0.01,0.46,2001,,,7.7
323,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,X360,Activision,High Moon Studios,9.1,,,4.34,2.81,1.13,0,0.41,2014,04th Jan 18,,5.8
331,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,PS3,Activision,High Moon Studios,9.1,,,4.27,1.59,1.81,0.2,0.67,2014,04th Jan 18,,5.9
366,Forza Motorsport 2,forza-motorsport-2,Racing,E,X360,Microsoft Game Studios,Turn 10 Studios,9.1,,,4.05,2.35,1.27,0.03,0.41,2007,,,7.9
409,Spyro: Year of the Dragon,spyro-year-of-the-dragon,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,9.1,,,3.71,1.93,1.58,,0.19,2000,,,8.9
441,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,X360,Eidos Interactive,Rocksteady Studios,9.1,,,3.54,2.24,0.95,0.02,0.33,2009,,9,8.8
442,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,M,X360,Ubisoft,Ubisoft Montreal,9.1,,,3.53,2.87,0.39,0.03,0.25,2010,,,8.4
469,LittleBigPlanet 2,littlebigplanet-2,Platform,E,PS3,Sony Computer Entertainment,Media Molecule,9.1,,,3.43,1.83,1.07,0.06,0.47,2011,,,8.6
510,L.A. Noire,la-noire,Adventure,M,PS3,Rockstar Games,Team Bondi,9.1,,,3.21,1.29,1.31,0.12,0.49,2011,,,7.8
560,Killzone 2,killzone-2,Shooter,M,PS3,Sony Computer Entertainment,Guerrilla Games,9.1,9.3,,3.02,1.4,1.07,0.08,0.46,2009,,9.1,7.9
613,Assassin's Creed: Brotherhood,assassins-creed-brotherhood,Action,M,PS3,Ubisoft,Ubisoft Montreal,9.1,,,2.85,1.87,0.57,0.11,0.3,2010,,,8.3
654,L.A. Noire,la-noire,Adventure,M,X360,Rockstar Games,Team Bondi,9.1,,,2.73,1.55,0.92,0.02,0.24,2011,,,8
687,NBA 2K12,nba-2k12,Sports,E,X360,2K Sports,Visual Concepts,9.1,,,2.64,2.32,0.14,0.01,0.17,2011,,,7.8
711,Ratchet & Clank: Up Your Arsenal,ratchet-amp-clank-up-your-arsenal,Platform,T,PS2,Sony Computer Entertainment,Insomniac Games,9.1,,,2.57,1.31,0.74,0.31,0.22,2004,,,9
750,Rock Band,rock-band,Misc,T,X360,MTV Games,Harmonix Music Systems,9.1,,,2.47,1.93,0.33,,0.21,2007,,9.1,7.7
108,Grand Theft Auto V,grand-theft-auto-v,Action,M,XOne,Rockstar Games,Rockstar North,9,9,,8.72,4.7,3.25,0.01,0.76,2014,11th Apr 18,,8
149,Medal of Honor: Frontline,medal-of-honor-frontline,Shooter,T,PS2,Electronic Arts,EA Los Angeles,9,,,6.83,2.93,2.75,0.17,0.99,2002,,,8.3
162,The Elder Scrolls V: Skyrim,the-elder-scrolls-v-skyrim,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,9,,,6.49,2.57,2.68,0.25,0.99,2011,01st Apr 18,,6.7
201,Assassin's Creed II,assassins-creed-ii,Action,M,PS3,Ubisoft,Ubisoft Montreal,9,,,5.57,2.54,1.95,0.21,0.86,2009,03rd Jan 18,9,8.7
264,Fallout 3,fallout-3,Role-Playing,M,X360,Bethesda Softworks,Bethesda Game Studios,9,8.6,,4.96,3.41,0.99,0.09,0.46,2008,,8.2,8.5
330,Batman: Arkham Asylum,batman-arkham-asylum,Action,T,PS3,Eidos Interactive,Rocksteady Studios,9,,,4.28,2.26,1.33,0.07,0.63,2009,,9.1,8.8
337,Metal Gear Solid 3: Snake Eater,metal-gear-solid-3-snake-eater,Action,M,PS2,Konami,KCEJ / Kojima Productions,9,,,4.23,1.46,0,0.83,1.93,2004,,,8
382,Left 4 Dead 2,left-4-dead-2,Shooter,M,X360,Electronic Arts,Certain Affinity / Valve Software,9,,,3.97,2.67,0.88,0.05,0.38,2009,,9,8.2
420,Jak and Daxter: The Precursor Legacy,jak-and-daxter-the-precursor-legacy,Platform,E,PS2,Sony Computer Entertainment,Naughty Dog,9,8.9,,3.64,2.08,1.09,0.15,0.33,2001,,,8.9
423,FIFA Soccer 10,fifa-soccer-10,Sports,E,PS3,EA Sports,EA Canada,9,,,3.63,0.6,2.46,0.05,0.52,2009,,9,7.3
447,NBA 2K17,nba-2k17,Sports,E,PS4,2K Sports,Visual Concepts,9,,,3.52,2.28,0.59,0.03,0.63,2016,28th Mar 18,,6.3
459,Battlefield: Bad Company 2,battlefield-bad-company-2,Shooter,M,X360,Electronic Arts,EA Digital Illusions CE,9,9.3,,3.48,2.11,1.01,0.04,0.33,2010,,,8.3
700,Grand Theft Auto: Episodes from Liberty City,grand-theft-auto-episodes-from-liberty-city,Adventure,M,X360,Rockstar Games,Rockstar North,9,,,2.6,1.08,1.22,0.03,0.27,2009,,,8
718,FIFA 16,fifa-16,Sports,E,PS3,EA Sports,EA Canada,9,,,2.55,0.43,1.68,0.05,0.38,2015,01st Apr 18,,4.4
77,FIFA 17,fifa-17,Sports,E,PS4,Electronic Arts,EA Canada,8.9,,,10.94,1.26,7.95,0.12,1.61,2016,28th Mar 18,,5.1
288,Tomb Raider,tomb-raider,Action,T,PS,Eidos Interactive,Core Design Ltd.,8.9,,,4.63,2.29,1.97,0.13,0.24,1996,,,8.3
522,Ace Combat 04: Shattered Skies,ace-combat-04-shattered-skies,Simulation,E,PS2,Namco,Namco,8.9,,,3.17,2.06,0.56,0.38,0.17,2001,,,8.4
581,Battlefield: Bad Company 2,battlefield-bad-company-2,Shooter,M,PS3,Electronic Arts,EA Digital Illusions CE,8.9,8.8,,2.96,1.33,1.11,0.08,0.44,2010,,,8.4
630,Need for Speed: Hot Pursuit,need-for-speed-hot-pursuit,Racing,E10,PS3,Electronic Arts,Criterion Games,8.9,,,2.81,1.05,1.24,0.03,0.49,2010,,,7.5
649,Battlefield 3,battlefield-3,Shooter,M,PC,Electronic Arts,Dice,8.9,,,2.76,0.89,1.44,,0.43,2011,,,7.7
689,NBA 2K13,nba-2k13,Sports,E,PS3,2K Sports,Visual Concepts,8.9,,,2.63,1.74,0.46,0.05,0.39,2012,04th Jan 18,,8.1
693,FIFA Soccer 10,fifa-soccer-10,Sports,E,X360,EA Sports,EA Canada,8.9,,,2.62,0.6,1.79,0.01,0.23,2009,,9,7.3
715,Ratchet & Clank Future: Tools of Destruction,ratchet-amp-clank-future-tools-of-destruction,Platform,E10,PS3,Sony Computer Entertainment,Insomniac Games,8.9,,,2.57,0.93,1.1,0.08,0.45,2007,,8.8,8.6
725,Tomb Raider (2013),tomb-raider-2013,Action,M,PS3,Square Enix,Crystal Dynamics,8.9,,,2.51,0.6,1.45,0.08,0.38,2013,06th Jan 18,,8.3
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,X360,Activision,Treyarch,8.8,,,14.74,9.76,3.73,0.11,1.14,2010,,,6.9
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,PS3,Activision,Infinity Ward,8.8,,,13.35,5.54,5.78,0.49,1.54,2011,,,3.4
125,Grand Theft Auto: Liberty City Stories,grand-theft-auto-liberty-city-stories,Action,M,PSP,Rockstar Games,Rockstar Leeds,8.8,,,7.72,2.9,2.83,0.24,1.74,2005,,,8.2
159,Assassin's Creed III,assassins-creed-iii,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,8.8,,,6.5,2.65,2.61,0.16,1.08,2012,12th Apr 18,,6.9
298,Overwatch,overwatch,Shooter,T,PS4,Blizzard Entertainment,Blizzard Entertainment,8.8,,,4.54,1.84,1.8,0.17,0.73,2016,24th Mar 18,,6.4
316,Winning Eleven: Pro Evolution Soccer 2007,winning-eleven-pro-evolution-soccer-2007,Sports,E,PS2,Konami,Konami Computer Entertainment Tokyo,8.8,,,4.39,0.1,2.39,1.05,0.86,2007,,,8.5
336,Assassin's Creed: Revelations,assassins-creed-revelations,Action,M,PS3,Ubisoft,Ubisoft Montreal,8.8,,,4.23,1.41,2.03,0.1,0.69,2011,,,7.6
377,Fallout 3,fallout-3,Role-Playing,M,PS3,Bethesda Softworks,Bethesda Game Studios,8.8,,,4,2.18,1.15,0.07,0.61,2008,,8.2,8.5
408,FIFA 17,fifa-17,Sports,E,XOne,Electronic Arts,EA Canada,8.8,,,3.71,1.04,2.4,,0.27,2016,28th Mar 18,,5.5
546,Heavy Rain,heavy-rain,Adventure,M,PS3,Sony Computer Entertainment,Quantic Dream,8.8,8.6,,3.06,1.29,1.24,0.06,0.48,2010,,9.1,8.5
694,LittleBigPlanet,littlebigplanet,Platform,E,PSP,Sony Computer Entertainment,SCEE Cambridge,8.8,,,2.61,0.65,1.27,0.01,0.68,2009,03rd Dec 18,,7.8
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,X360,Activision,Infinity Ward,8.7,,,14.82,9.07,4.29,0.13,1.33,2011,,,3.6
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,PS3,Activision,Treyarch,8.7,,,12.67,6.01,4.4,0.48,1.78,2010,,,7
166,Halo 3: ODST,halo-3-odst,Shooter,M,X360,Microsoft Game Studios,Bungie,8.7,,,6.35,4.34,1.34,0.06,0.61,2009,11th Oct 18,8.4,7.9
248,FIFA Soccer 11,fifa-soccer-11,Sports,E,PS3,EA Sports,EA Canada,8.7,,,5.08,0.61,3.28,0.06,1.12,2010,,,8.1
254,Spyro the Dragon,spyro-the-dragon,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,8.7,,,5,3.36,1.36,0.07,0.21,1998,,,8.6
262,Uncharted: Drake's Fortune,uncharted-drakes-fortune,Action,T,PS3,Sony Computer Entertainment,Naughty Dog,8.7,8.6,,4.97,2.32,1.73,0.12,0.8,2007,,8.7,7.8
300,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,X360,RedOctane,Neversoft,8.7,,,4.53,3.19,0.91,0.01,0.42,2007,,,8.4
368,Tekken Tag Tournament,tekken-tag-tournament,Fighting,T,PS2,Namco,Namco,8.7,,,4.05,1.68,1.51,0.51,0.35,2000,,,8.4
381,NBA 2K16,nba-2k16,Sports,E10,PS4,2K Sports,Visual Concepts,8.7,,,3.98,2.56,0.66,0.05,0.71,2015,28th Mar 18,,6.7
385,Assassin's Creed IV: Black Flag,assassins-creed-iv-black-flag,Action-Adventure,M,PS3,Ubisoft,Ubisoft Montreal,8.7,,,3.94,1.34,1.86,0.13,0.62,2013,14th Mar 18,,8.2
391,Tony Hawk's Underground,tony-hawks-underground,Sports,T,PS2,Activision,Neversoft Entertainment,8.7,,,3.9,2.29,1.17,0.01,0.42,2003,,,8.7
419,Battlefield 4,battlefield-4,Shooter,M,PS3,Electronic Arts,EA DICE,8.7,,,3.64,1.31,1.5,0.27,0.55,2013,04th Jan 18,,6
437,Battlefield 4,battlefield-4,Shooter,M,X360,Electronic Arts,EA DICE,8.7,,,3.54,2.16,1.05,0.02,0.32,2013,04th Jan 18,,5.8
448,FIFA Soccer 11,fifa-soccer-11,Sports,E,X360,EA Sports,EA Canada,8.7,,,3.52,0.71,2.39,0.02,0.4,2010,,,7.5
449,Spyro 2: Ripto's Rage!,spyro-2-riptos-rage,Platform,E,PS,Sony Computer Entertainment,Insomniac Games,8.7,,,3.52,2.14,1.21,0.01,0.17,1999,,,9.1
450,Left 4 Dead,left-4-dead,Shooter,M,X360,Valve Corporation,Certain Affinity / Valve Software,8.7,9,,3.52,2.66,0.49,0.05,0.31,2008,,8.9,7.9
515,WWF SmackDown! 2: Know Your Role,wwf-smackdown-2-know-your-role,Fighting,T,PS,THQ,Yuke's,8.7,,,3.2,1.76,1.21,0.07,0.16,2000,,,8.3
573,inFAMOUS,infamous,Action,T,PS3,Sony Computer Entertainment,Sucker Punch Productions,8.7,9.1,,2.99,1.76,0.68,0.12,0.42,2009,,8.2,8.3
644,Ratchet & Clank: Going Commando,ratchet-amp-clank-going-commando,Platform,T,PS2,Sony Computer Entertainment,Insomniac Games,8.7,,,2.78,1.44,0.83,0.26,0.25,2003,,,8.9
658,Overwatch,overwatch,Shooter,T,XOne,Blizzard Entertainment,Blizzard Entertainment,8.7,,,2.72,1.63,0.84,,0.25,2016,24th Mar 18,,5.9
114,Fallout 4,fallout-4,Role-Playing,M,PS4,Bethesda Softworks,Bethesda Game Studios,8.6,,,8.48,2.91,3.97,0.27,1.34,2015,24th Mar 18,,6.8
129,Crash Bandicoot 2: Cortex Strikes Back,crash-bandicoot-2-cortex-strikes-back,Platform,E,PS,Sony Computer Entertainment,Naughty Dog,8.6,,,7.58,3.78,2.17,1.31,0.31,1997,,,9
140,Need for Speed Underground,need-for-speed-underground,Racing,E,PS2,Electronic Arts,EA Black Box,8.6,,,7.2,3.27,2.83,0.08,1.02,2003,,,8.6
244,Resident Evil 5,resident-evil-5,Action,M,PS3,Capcom,Capcom,8.6,8.8,,5.1,1.96,1.42,1.08,0.64,2009,,8.4,7.3
292,Guitar Hero III: Legends of Rock,guitar-hero-iii-legends-of-rock,Misc,T,Wii,RedOctane,Vicarious Visions,8.6,,,4.6,3.04,1.12,0,0.44,2007,,,6.8
320,Need for Speed: Most Wanted,need-for-speed-most-wanted,Racing,T,PS2,Electronic Arts,EA Canada,8.6,,,4.37,2.03,1.79,0.08,0.47,2005,,,8.6
334,Daxter,daxter,Platform,E10,PSP,Sony Computer Entertainment,Ready at Dawn,8.6,,,4.23,2.45,1.02,,0.77,2006,,,8.5
430,Assassin's Creed Syndicate,assassins-creed-syndicate,Action,M,PS4,Ubisoft,Ubisoft Quebec,8.6,,,3.6,0.9,2.06,0.08,0.55,2015,04th May 18,,6.9
445,Resident Evil 5,resident-evil-5,Action,M,X360,Capcom,Capcom,8.6,,,3.53,2.13,0.93,0.12,0.34,2009,,8.4,7.4
535,NBA 2K13,nba-2k13,Sports,E,X360,2K Sports,Visual Concepts,8.6,,,3.11,2.62,0.21,0.01,0.28,2012,04th Jan 18,,7.1
621,Madden NFL 10,madden-nfl-10,Sports,E,X360,EA Sports,EA Tiburon,8.6,,,2.83,2.52,0.09,,0.22,2009,,8.6,7
677,Guitar Hero: World Tour,guitar-hero-world-tour,Misc,T,X360,Activision,Neversoft Entertainment,8.6,,,2.66,1.78,0.64,,0.25,2008,,,7.1
704,FIFA Soccer 09,fifa-soccer-09,Sports,E,PS3,Electronic Arts,EA Canada,8.6,,,2.59,0.49,1.63,0.04,0.43,2008,,,6.9
119,FIFA 16,fifa-16,Sports,E,PS4,EA Sports,EA Canada,8.5,,,8.22,1.15,5.77,0.07,1.23,2015,01st Apr 18,,4.4
124,The Sims 3,the-sims-3,Simulation,T,PC,Electronic Arts,EA Redwood Shores,8.5,,,7.96,1.01,6.46,,0.5,2009,,8.8,7.8
130,Call of Duty: Advanced Warfare,call-of-duty-advanced-warfare,Shooter,M,PS4,Activision,Sledgehammer Games,8.5,,,7.53,2.84,3.34,0.14,1.22,2014,04th Jan 18,,5.9
131,Call of Duty: World at War,call-of-duty-world-at-war,Shooter,M,X360,Activision,Treyarch,8.5,7.8,,7.5,4.88,1.91,,0.71,2008,,8.8,7.8
136,Battlefield 3,battlefield-3,Shooter,M,X360,Electronic Arts,Dice,8.5,,,7.35,4.47,2.12,0.06,0.69,2011,,,7.5
139,Battlefield 3,battlefield-3,Shooter,M,PS3,Electronic Arts,Dice,8.5,,,7.21,2.86,2.94,0.35,1.07,2011,,,7.6
172,Driver,driver,Action,T,PS,GT Interactive,Reflections Interactive,8.5,,,6.27,3.11,2.8,0.02,0.33,1999,,,8
310,Madden NFL 07,madden-nfl-07,Sports,E,PS2,EA Sports,EA Tiburon,8.5,,,4.49,3.63,0.24,0.01,0.61,2006,,,8.6
321,Resistance: Fall of Man,resistance-fall-of-man,Shooter,M,PS3,Sony Computer Entertainment,Insomniac Games,8.5,9.1,,4.37,1.74,1.72,0.14,0.76,2006,,8.5,7.8
405,Ratchet & Clank: Size Matters,ratchet-amp-clank-size-matters,Platform,E10,PSP,Sony Computer Entertainment,High Impact Games,8.5,,,3.75,1.4,1.4,0.1,0.86,2007,,,8
431,Star Wars Battlefront II,star-wars-battlefront-ii,Shooter,T,PS2,LucasArts,Pandemic Studios,8.5,,,3.59,2.18,1.02,0.03,0.37,2005,,,9.1
